Symbol,Company Name,NSE Macro Sector,NSE Sector,NSE Industry,Heatmap Sector
20MICRONS,20 Microns Limited,Basic Materials,Metals,Industrial Metals & Mining,Metals & Mining
21STCENMGM,21st Century Management Services Limited,Financial Services,Finance,Capital Markets,Banking & Finance
360ONE,360 ONE WAM LIMITED,Financial Services,Finance,Financial Services,Banking & Finance
3IINFOLTD,3i Infotech Limited,Technology,IT Services & Consulting,IT Services,IT
3MINDIA,3M India Limited,Industrials,Capital Goods,Electronics Manufacturing,Capital Goods
3PLAND,3P Land Holdings Limited,Real Estate,Realty,Real Estate Development,Realty
5PAISA,5Paisa Capital Limited,Financial Services,Finance,Financial Services,Banking & Finance
63MOONS,63 moons technologies limited,Technology,IT Services & Consulting,IT Services,IT
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
AAATECH,AAA Technologies Limited,Technology,IT Services & Consulting,IT Services,IT
AADHARHFC,Aadhar Housing Finance Limited,Financial Services,Finance,Financial Services,Banking & Finance
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas,Oil & Gas Equipment & Services,Oil & Gas
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
AARON,Aaron Industries Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
AARTECH,Aartech Solonics Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
AARTIIND,Aarti Industries Limited,Consumer Defensive,FMCG,Agro Chemicals,FMCG
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
AARTISURF,Aarti Surfactants Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
AARVI,Aarvi Encon Limited,Consumer Defensive,Education,Recruitment Services,Services
AAVAS,Aavas Financiers Limited,Financial Services,Finance,Financial Services,Banking & Finance
ABAN,Aban Offshore Limited,Energy,Oil & Gas,Oil & Gas Drilling,Oil & Gas
ABB,ABB India Limited,Industrials,Capital Goods,Capital Goods,Capital Goods
ABBOTINDIA,Abbott India Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Finance,Financial Services,Banking & Finance
ABCOTS,A B Cotspin India Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
ABDL,Allied Blenders and Distillers Limited,Consumer Defensive,FMCG,Beverages - Alcoholic,FMCG
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Textile,Fashion & Textile,Textiles & Apparel
ABINFRA,A B Infrabuild Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Cyclical,Services,Consumer Services,Services
ABMINTLLTD,ABM International Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
ABREL,Aditya Birla Real Estate Limited,Real Estate,Realty,Real Estate Development,Realty
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Finance,Financial Services,Banking & Finance
ACC,ACC Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
ACCELYA,Accelya Solutions India Limited,Technology,Software,Software Products,IT
ACCURACY,Accuracy Shipping Limited,Industrials,Logistics,Integrated Freight & Logistics,Logistics
ACE,Action Construction Equipment Limited,Industrials,Capital Goods,Industrial Machinery,Capital Goods
ACEINTEG,Ace Integrated Solutions Limited,Industrials,Services,Staffing & Employment Services,Services
ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals,Chemicals,Chemicals
ACL,Andhra Cements Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
ACMESOLAR,Acme Solar Holdings Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
ADANIENT,Adani Enterprises Limited,Basic Materials,Mining,Mining & Trading,Metals & Mining
ADANIGREEN,Adani Green Energy Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Logistics,Ports & Marine,Logistics
ADANIPOWER,Adani Power Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
ADFFOODS,ADF Foods Limited,Consumer Defensive,FMCG,Packaged Foods,FMCG
ADL,Archidply Decor Limited,Consumer Cyclical,Consumer Goods,"Furnishings, Fixtures & Appliances",Consumer Goods
ADOR,Ador Welding Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
ADROITINFO,Adroit Infotech Limited,Technology,IT Services & Consulting,IT Services,IT
ADSL,Allied Digital Services Limited,Technology,IT Services & Consulting,IT Services,IT
ADVANCE,Advance Agrolife Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
ADVENTHTL,Advent Hotels International Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
AEGISLOG,Aegis Logistics Limited,Energy,Oil & Gas,"Oil, Gas & Consumable Fuels",Oil & Gas
AEGISVOPAK,Aegis Vopak Terminals Limited,Energy,Oil & Gas,"Oil, Gas & Consumable Fuels",Oil & Gas
AEQUS,Aequs Limited,Industrials,Defence,Defence & Aerospace,Defence & Aerospace
AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Metals,Steel,Metals & Mining
AEROFLEX,Aeroflex Industries Limited,Industrials,Capital Goods,Metal Fabrication,Capital Goods
AERONEU,Aeroflex Neu Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
